primary_key,EMP_TYPE
6,"cond16"
7,"cond16"
9,"cond16"
15,"cond16"
19,"cond16"
26,"cond16"
27,"cond16"
37,"cond16"
44,"cond16"
49,"cond16"
50,"cond15"
53,"cond22"
54,"cond16"
59,"cond16"
64,"cond16"
68,"cond16"
70,"cond16"
74,"cond21"
92,"cond15"
93,"cond16"
103,"cond15"
104,"cond16"
117,"cond16"
118,"cond16"
126,"cond16"
129,"cond16"
130,"cond16"
131,"cond16"
135,"cond16"
138,"cond16"
146,"cond13"
147,"cond21"
152,"cond13"
153,"cond16"
155,"cond16"
157,"cond16"
158,"cond16"
162,"cond16"
171,"cond16"
184,"cond16"
185,"cond21"
187,"cond21"
190,"cond16"
196,"cond16"
201,"cond16"
203,"cond11"
206,"cond16"
208,"cond16"
210,"cond16"
224,"cond16"
225,"cond21"
231,"cond16"
234,"cond16"
236,"cond16"
238,"cond16"
242,"cond15"
243,"cond16"
249,"cond22"
251,"cond16"
253,"cond16"
261,"cond16"
266,"cond16"
274,"cond15"
277,"cond15"
283,"cond16"
293,"cond16"
298,"cond16"
302,"cond16"
314,"cond16"
318,"cond16"
324,"cond15"
325,"cond16"
326,"cond16"
330,"cond16"
331,"cond23"
364,"cond16"
371,"cond15"
374,"cond16"
376,"cond16"
380,"cond16"
382,"cond16"
385,"cond16"
386,"cond16"
387,"cond16"
389,"cond22"
392,"cond16"
395,"cond16"
403,"cond16"
407,"cond16"
408,"cond16"
413,"cond15"
419,"cond11"
423,"cond15"
438,"cond16"
439,"cond16"
444,"cond16"
446,"cond21"
456,"cond22"
458,"cond21"
461,"cond16"
470,"cond16"
471,"cond12"
472,"cond15"
474,"cond16"
475,"cond21"
476,"cond16"
483,"cond16"
485,"cond16"
489,"cond16"
501,"cond16"
502,"cond16"
508,"cond16"
509,"cond21"
511,"cond14"
512,"cond16"
524,"cond16"
525,"cond21"
529,"cond16"
533,"cond16"
534,"cond16"
535,"cond16"
537,"cond16"
538,"cond16"
542,"cond22"
547,"cond16"
555,"cond21"
559,"cond21"
560,"cond16"
563,"cond16"
564,"cond16"
566,"cond21"
574,"cond16"
580,"cond16"
583,"cond16"
590,"cond16"
592,"cond16"
594,"cond15"
607,"cond21"
609,"cond16"
626,"cond21"
628,"cond16"
645,"cond16"
646,"cond16"
654,"cond21"
665,"cond16"
667,"cond16"
679,"cond16"
680,"cond16"
687,"cond16"
692,"cond16"
693,"cond16"
697,"cond15"
698,"cond16"
703,"cond12"
704,"cond15"
710,"cond16"
715,"cond16"
716,"cond16"
721,"cond16"
723,"cond16"
734,"cond16"
737,"cond16"
738,"cond16"
741,"cond22"
742,"cond16"
745,"cond16"
749,"cond16"
755,"cond22"
756,"cond16"
764,"cond15"
766,"cond16"
767,"cond16"
769,"cond16"
771,"cond16"
773,"cond21"
784,"cond21"
785,"cond16"
786,"cond16"
789,"cond16"
790,"cond22"
798,"cond16"
799,"cond16"
801,"cond21"
807,"cond16"
823,"cond16"
824,"cond12"
825,"cond16"
827,"cond16"
829,"cond16"
830,"cond15"
835,"cond21"
855,"cond16"
858,"cond15"
862,"cond16"
864,"cond16"
870,"cond16"
874,"cond16"
875,"cond16"
879,"cond16"
880,"cond16"
895,"cond16"
899,"cond15"
904,"cond16"
907,"cond16"
908,"cond15"
913,"cond16"
927,"cond16"
933,"cond16"
935,"cond16"
937,"cond16"
939,"cond16"
940,"cond12"
948,"cond13"
950,"cond16"
958,"cond22"
966,"cond16"
970,"cond16"
975,"cond16"
986,"cond15"
988,"cond16"
993,"cond16"
995,"cond16"
996,"cond16"
999,"cond16"
1002,"cond16"
1009,"cond16"
1011,"cond22"
1018,"cond16"
1019,"cond16"
1027,"cond23"
1036,"cond16"
1038,"cond15"
1042,"cond16"
1055,"cond21"
1063,"cond16"
1068,"cond16"
1079,"cond16"
1084,"cond16"
1086,"cond16"
1092,"cond16"
1100,"cond16"
1106,"cond16"
1108,"cond22"
1113,"cond16"
1119,"cond15"
1126,"cond16"
1131,"cond16"
1134,"cond16"
1135,"cond16"
1136,"cond16"
1150,"cond16"
1160,"cond16"
1161,"cond16"
1163,"cond16"
1165,"cond16"
1167,"cond15"
1177,"cond15"
1179,"cond16"
1180,"cond16"
1181,"cond11"
1184,"cond16"
1185,"cond16"
1188,"cond16"
1191,"cond15"
1195,"cond22"
1204,"cond16"
1205,"cond16"
1208,"cond21"
1215,"cond16"
1220,"cond15"
1228,"cond21"
1229,"cond16"
1233,"cond16"
1240,"cond16"
1241,"cond16"
1246,"cond16"
1249,"cond16"
1250,"cond16"
1256,"cond16"
1265,"cond16"
1278,"cond21"
1279,"cond15"
1283,"cond16"
1285,"cond16"
1286,"cond16"
1290,"cond16"
1303,"cond15"
1306,"cond11"
1315,"cond16"
1317,"cond16"
1325,"cond16"
1343,"cond16"
1347,"cond16"
1348,"cond16"
1350,"cond15"
1352,"cond15"
1356,"cond16"
1357,"cond15"
1362,"cond16"
1367,"cond16"
1373,"cond16"
1376,"cond16"
1377,"cond16"
1378,"cond16"
1386,"cond16"
1395,"cond16"
1396,"cond16"
1400,"cond16"
1402,"cond16"
1405,"cond16"
1406,"cond16"
1419,"cond16"
1422,"cond16"
1424,"cond22"
1429,"cond16"
1443,"cond16"
1446,"cond16"
1447,"cond21"
1450,"cond16"
1458,"cond16"
1459,"cond16"
1462,"cond12"
1463,"cond16"
1466,"cond16"
1470,"cond16"
1482,"cond16"
1489,"cond16"
1495,"cond13"
1501,"cond16"
1513,"cond16"
1519,"cond16"
1521,"cond16"
1524,"cond15"
1525,"cond16"
1527,"cond16"
1531,"cond16"
1544,"cond15"
1545,"cond16"
1552,"cond16"
1558,"cond16"
1560,"cond16"
1563,"cond16"
1567,"cond16"
1573,"cond16"
1575,"cond15"
1576,"cond16"
1588,"cond15"
1589,"cond16"
1593,"cond16"
1595,"cond16"
1596,"cond21"
1601,"cond16"
1611,"cond15"
1615,"cond16"
1627,"cond16"
1640,"cond21"
1642,"cond16"
1643,"cond16"
1654,"cond16"
1655,"cond16"
1663,"cond16"
1667,"cond21"
1670,"cond16"
1675,"cond16"
1678,"cond21"
1680,"cond15"
1683,"cond16"
1697,"cond16"
1700,"cond15"
1701,"cond21"
1702,"cond16"
1703,"cond11"
1706,"cond22"
1709,"cond16"
1715,"cond16"
1726,"cond16"
1729,"cond16"
1731,"cond21"
1733,"cond22"
1739,"cond16"
1744,"cond16"
1746,"cond13"
1747,"cond21"
1748,"cond21"
1755,"cond15"
1759,"cond16"
1760,"cond16"
1761,"cond21"
1764,"cond13"
1769,"cond16"
1770,"cond16"
1773,"cond16"
1777,"cond16"
1779,"cond16"
1783,"cond15"
1784,"cond16"
1785,"cond16"
1789,"cond16"
1790,"cond16"
1801,"cond16"
1805,"cond16"
1809,"cond21"
1819,"cond15"
1826,"cond16"
1827,"cond15"
1828,"cond16"
1830,"cond11"
1831,"cond15"
1832,"cond16"
1833,"cond16"
1839,"cond16"
1840,"cond16"
1843,"cond16"
1844,"cond16"
1849,"cond16"
1852,"cond16"
1854,"cond21"
1859,"cond16"
1868,"cond15"
1871,"cond16"
1874,"cond15"
1875,"cond16"
1890,"cond16"
1891,"cond15"
1894,"cond11"
1895,"cond16"
1897,"cond16"
1900,"cond16"
1905,"cond16"
1911,"cond15"
1912,"cond16"
1919,"cond15"
1920,"cond15"
1923,"cond15"
1943,"cond16"
1944,"cond11"
1945,"cond16"
1946,"cond21"
1947,"cond16"
1951,"cond11"
1952,"cond16"
1955,"cond11"
1969,"cond11"
1971,"cond16"
1972,"cond16"
1975,"cond16"
1976,"cond16"
1984,"cond16"
1998,"cond16"
1999,"cond16"
2000,"cond16"
2011,"cond16"
2016,"cond16"
2027,"cond16"
2028,"cond21"
2037,"cond16"
2041,"cond16"
2051,"cond15"
2053,"cond15"
2072,"cond16"
2076,"cond16"
2077,"cond16"
2082,"cond16"
2087,"cond22"
2096,"cond16"
2097,"cond16"
2101,"cond16"
2103,"cond16"
2107,"cond16"
2110,"cond16"
2113,"cond16"
2114,"cond16"
2116,"cond15"
2117,"cond16"
2123,"cond16"
2127,"cond23"
2129,"cond16"
2131,"cond15"
2139,"cond16"
2142,"cond16"
2152,"cond14"
2155,"cond16"
2156,"cond21"
2168,"cond22"
2169,"cond16"
2173,"cond16"
2174,"cond16"
2175,"cond16"
2176,"cond16"
2178,"cond16"
2183,"cond16"
2185,"cond21"
2188,"cond16"
2189,"cond16"
2196,"cond16"
2208,"cond16"
2213,"cond16"
2215,"cond16"
2225,"cond16"
2226,"cond15"
2233,"cond21"
2236,"cond15"
2239,"cond15"
2241,"cond22"
2242,"cond16"
2248,"cond16"
2250,"cond16"
2254,"cond22"
2255,"cond15"
2256,"cond16"
2260,"cond16"
2267,"cond16"
2268,"cond16"
2271,"cond16"
2272,"cond16"
2274,"cond16"
2277,"cond15"
2293,"cond16"
2295,"cond15"
2306,"cond16"
2308,"cond16"
2309,"cond16"
2310,"cond22"
2312,"cond11"
2318,"cond16"
2320,"cond22"
2326,"cond23"
2332,"cond16"
2335,"cond16"
2336,"cond16"
2337,"cond16"
2342,"cond16"
2344,"cond16"
2346,"cond21"
2348,"cond16"
2352,"cond16"
2353,"cond16"
2363,"cond22"
2364,"cond15"
2369,"cond15"
2375,"cond16"
2379,"cond16"
2381,"cond15"
2384,"cond16"
2387,"cond16"
2388,"cond15"
2389,"cond16"
2392,"cond16"
2396,"cond16"
2398,"cond16"
2401,"cond16"
2402,"cond21"
2407,"cond16"
2411,"cond16"
2413,"cond16"
2414,"cond16"
2420,"cond12"
2427,"cond16"
2429,"cond16"
2433,"cond16"
2434,"cond16"
2436,"cond15"
2443,"cond16"
2446,"cond21"
2450,"cond16"
2452,"cond16"
2460,"cond16"
2466,"cond16"
2472,"cond15"
2481,"cond16"
2485,"cond21"
2486,"cond16"
2494,"cond16"
2502,"cond16"
2503,"cond16"
2507,"cond16"
2510,"cond22"
2514,"cond22"
2521,"cond21"
2527,"cond16"
2528,"cond21"
2531,"cond16"
2532,"cond22"
2545,"cond16"
2550,"cond16"
2551,"cond16"
2559,"cond16"
2560,"cond16"
2562,"cond21"
2563,"cond22"
2568,"cond11"
