primary_key,working_hours,job_dep,job_desc,Employee_count,EMPLOYER_TYPE,JOB_CATEGORY,Remuneration,Type_of_contract,eco_sect,Work_condition
6,1673,"69","375b","tr_1","ct_9","O",29701,"CDI","GZ","C"
7,1820,"01","382c","tr_3","ct_9","O",34892,"CDI","FZ","C"
9,1698,"01","562a","tr_1","ct_9","O",16052,"CDI","SZ","C"
15,1981,"01","625f","tr_1","ct_9","O",24656,"CDI","CA","C"
26,1820,"69","451a","tr_5","ct_9","O",19874,"CDI","HZ","C"
27,1008,"01","561d","tr_1","ct_9","O",8814,"CDI","IZ","C"
37,1872,"01","674c","tr_4","ct_9","O",19138,"CDI","CA","C"
44,1598,"01","691b","tr_3","ct_8","O",14701,"CDI","SZ","P"
49,2730,"01","421b","tr_5","ct_8","O",69243,"CDI","PZ","P"
50,332,"01","552a","tr_1","ct_9","O",2462,"TTP","NZ","C"
54,1820,"69","388a","tr_6","ct_9","O",46177,"CDI","JA","C"
59,1839,"01","551a","tr_5","ct_9","O",18666,"CDI","GZ","C"
64,1281,"01","676c","tr_5","ct_9","O",8370,"CDI","HZ","C"
68,1950,"01","625h","tr_1","ct_9","O",48507,"CDI","EZ","C"
70,1905,"01","433a","tr_2","ct_9","O",27293,"CDI","QA","C"
92,1368,"69","526a","tr_6","ct_3","O",49729,"AUT","QA","P"
93,1963,"01","475a","tr_1","ct_9","O",30593,"CDI","CG","C"
103,126,"01","563c",NA,NA,"O",2681,"TTP","TZ","C"
104,1432,"69","484a","tr_6","ct_9","O",61074,"CDI","CE","C"
117,786,"01","561c","tr_1","ct_9","O",8709,"CDI","IZ","C"
118,1820,"01","526a","tr_3","ct_8","O",7183,"CDI","QB","C"
126,1973,"01","628g","tr_2","ct_9","O",30754,"CDI","CG","C"
130,1820,"69","382b","tr_1","ct_9","O",34612,"CDI","MA","C"
131,1948,"01","482a","tr_5","ct_9","O",29412,"CDI","CI","C"
135,1664,"01","463c","tr_3","ct_9","O",20368,"CDI","GZ","C"
138,3000,"01","563a","tr_0","ct_7","O",24568,"CDI","QB","N"
152,1170,"01","525d","tr_5","ct_8","X",9964,"AUT","QB","C"
153,1974,"01","641a","tr_4","ct_9","O",18983,"CDI","HZ","C"
155,1046,"01","543h","tr_6","ct_9","O",10022,"CDI","GZ","P"
157,1820,"01","422c","tr_2","ct_8","O",14174,"CDI","PZ","C"
158,1820,"69","451a","tr_5","ct_9","O",18087,"CDI","HZ","C"
171,1459,"01","526c","tr_4","ct_9","O",14700,"CDI","QB","C"
184,589,"01","636c","tr_2","ct_9","O",7750,"CDI","CA","C"
190,1506,"01","563b","tr_3","ct_8","O",16708,"CDI","QB","P"
196,1843,"01","526a","tr_4","ct_8","O",17028,"CDI","QA","C"
208,1820,"01","676c","tr_5","ct_9","O",25993,"CDI","CA","C"
210,1778,"01","627b","tr_3","ct_9","O",14007,"CDI","CB","C"
224,576,"01","474b","tr_6","ct_9","O",17918,"CDI","CL","C"
231,794,"01","461f","tr_1","ct_9","O",13051,"CDI","GZ","C"
236,1820,"01","422a","tr_4","ct_1","O",16938,"CDI","PZ","C"
238,1863,"01","544a","tr_1","ct_9","O",32708,"CDI","MA","C"
242,132,"01","561d",NA,NA,"O",1221,"CDD","IZ","C"
243,1821,"01","675a","tr_4","ct_9","O",18123,"CDI","CB","C"
251,1153,"01","465b","tr_1","ct_8","O",18978,"CDI","SZ","P"
253,304,"71","462e","tr_6","ct_5","O",3233,"CDI","LZ","P"
261,2049,"69","554a","tr_2","ct_9","O",20021,"CDI","CA","C"
266,1805,"74","376d","tr_2","ct_9","O",34892,"CDI","KZ","C"
274,1953,"01","545d","tr_6","ct_8","X",19614,"AUT","OZ","C"
277,714,"01","341a","tr_1","ct_9","O",7162,"TTP","NZ","C"
283,1820,"01","673c","tr_6","ct_9","O",17523,"CDI","CL","C"
293,2058,"01","474a","tr_3","ct_9","O",24937,"CDI","CH","C"
298,156,"01","525d","tr_4","ct_8","O",2658,"CDI","QB","C"
318,1829,"01","641a","tr_3","ct_9","O",24184,"CDI","HZ","C"
324,467,"69","545c","tr_6","ct_9","O",5332,"CDD","KZ","C"
325,844,"69","563c",NA,NA,"O",13992,"CDI","TZ","C"
326,1762,"01","556a","tr_1","ct_9","O",22483,"CDI","GZ","C"
330,1287,"69","389b","tr_5","ct_9","O",52155,"CDI","HZ","C"
364,1820,"01","632g","tr_2","ct_9","O",17061,"CDI","FZ","C"
371,1820,"69","431f","tr_6","ct_3","O",24410,"CDD","QA","C"
374,1765,"38","621c","tr_3","ct_9","O",23063,"CDI","FZ","C"
376,1670,"01","525d","tr_4","ct_9","O",16042,"CDI","QB","C"
380,268,"01","636d","tr_4","ct_8","O",5588,"CDI","QA","C"
382,1820,"69","643a","tr_3","ct_9","O",24293,"CDI","HZ","C"
386,493,"01","561d","tr_2","ct_9","O",4486,"CDI","IZ","P"
387,1820,"39","526d","tr_4","ct_8","O",23830,"CDI","QB","C"
395,1827,"71","551a","tr_4","ct_9","O",21961,"CDI","GZ","C"
403,1820,"69","341a","tr_3","ct_8","O",32226,"CDI","PZ","C"
407,643,"01","642b","tr_1","ct_9","O",7281,"CDI","LZ","C"
408,1764,"69","478d","tr_3","ct_9","O",22865,"CDI","JB","C"
413,420,"01","525a","tr_3","ct_2","O",3082,"CDD","OZ","P"
419,642,"01","683a","tr_4","ct_9","A",4671,"APP","IZ","C"
423,1685,"74","526a","tr_3","ct_2","O",20509,"CDD","QB","C"
438,1820,"01","634c","tr_1","ct_9","O",18799,"CDI","GZ","C"
439,1580,"69","543g","tr_3","ct_9","O",25780,"CDI","GZ","C"
461,1640,"69","632g","tr_1","ct_9","O",19146,"CDI","FZ","C"
470,1542,"01","626b","tr_5","ct_9","O",27415,"CDI","CH","C"
471,133,"01","676c","tr_1",NA,"O",1048,"AUT","NZ","C"
474,1820,"01","423b","tr_3","ct_8","O",18379,"CDI","QB","C"
476,317,"01","676a","tr_2","ct_9","O",3054,"CDI","HZ","C"
483,1820,"69","341a","tr_3","ct_8","O",35292,"CDI","PZ","C"
501,1692,"01","674a","tr_3","ct_9","O",17086,"CDI","CG","C"
502,1679,"69","543f","tr_2","ct_9","O",14697,"CDI","GZ","C"
508,678,"69","561c","tr_1","ct_9","O",8720,"CDI","RZ","P"
512,2014,"69","484a","tr_6","ct_9","O",46336,"CDI","CF","C"
524,1640,"01","422c","tr_3","ct_8","O",16316,"CDI","PZ","C"
529,1820,"71","462b","tr_1","ct_9","O",32266,"CDI","GZ","C"
533,1632,"01","681a","tr_4","ct_9","O",19555,"CDI","FZ","C"
534,1625,"69","526b","tr_6","ct_8","O",28374,"CDI","QA","P"
535,436,"01","461c","tr_3","ct_9","O",6822,"CDI","MA","C"
537,1941,"01","543g","tr_3","ct_9","O",29326,"CDI","CM","C"
538,1964,"01","526b","tr_2","ct_9","O",26213,"CDI","KZ","C"
547,1473,"71","653a","tr_2","ct_9","O",14603,"CDI","GZ","C"
560,1278,"01","526a","tr_1","ct_8","O",15045,"CDI","QB","P"
564,1764,"01","637d","tr_1","ct_9","O",24096,"CDI","CE","C"
574,2053,"01","477c","tr_6","ct_9","O",48499,"CDI","DZ","C"
580,1029,"01","485a","tr_1","ct_9","O",14609,"CDI","HZ","C"
583,143,"01","563c",NA,NA,"O",1661,"CDI","TZ","C"
590,2008,"01","474b","tr_3","ct_9","O",37333,"CDI","CH","C"
592,1839,"69","462c","tr_4","ct_9","O",39121,"CDI","GZ","C"
594,728,"01","551a","tr_2","ct_9","O",7848,"CDD","GZ","P"
609,1607,"01","673c","tr_1","ct_9","O",18048,"CDI","MA","C"
628,743,"01","561e","tr_1","ct_9","O",7344,"CDI","IZ","C"
645,1508,"71","542a","tr_1","ct_9","O",16299,"CDI","NZ","P"
646,1680,"01","387a","tr_4","ct_9","O",45763,"CDI","MA","C"
665,848,"01","684a","tr_1",NA,"O",6850,"CDI","NZ","C"
667,1820,"71","542b","tr_3","ct_8","O",22918,"CDI","MA","C"
679,1820,"71","461f","tr_6","ct_9","O",32118,"CDI","NZ","C"
687,171,"01","684a","tr_2","ct_9","O",1501,"CDI","MA","P"
692,152,"74","534a","tr_1",NA,"O",1864,"CDI","NZ","C"
693,1657,"94","652a","tr_4","ct_9","O",29197,"CDI","HZ","C"
697,186,"75","478a","tr_2","ct_9","X",1353,"AUT","MA","C"
698,1806,"01","636c","tr_2","ct_9","O",16400,"CDI","CA","C"
703,744,"69","625b","tr_2","ct_9","O",11395,"TTP","NZ","P"
704,1368,"01","461e","tr_6","ct_5","O",16860,"CDD","LZ","C"
710,1854,"01","461f","tr_6","ct_9","O",31566,"CDI","DZ","C"
716,1958,"01","462e","tr_1","ct_9","O",23504,"CDI","NZ","C"
721,1671,"01","632g","tr_3","ct_9","O",19343,"CDI","FZ","C"
723,1694,"01","551a","tr_5","ct_9","O",20403,"CDI","GZ","C"
734,2277,"01","374a","tr_5","ct_9","O",58696,"CDI","GZ","C"
737,1820,"01","422c","tr_5","ct_8","O",14501,"CDI","PZ","C"
738,670,"01","674d","tr_3","ct_9","O",4212,"CDI","CH","C"
749,1363,"01","652a","tr_5","ct_9","O",17116,"CDI","CL","C"
