primary_key,LAST_OCCUPATION_42,LAST_EMP_TYPE,retirement_age
1,"csp_5_3","cond16",65
18,"csp_4_6","cond16",60
24,"csp_5_2","cond16",60
28,"csp_3_4","cond16",64
29,"csp_6_3","cond16",60
39,"csp_6_4","cond16",60
42,"csp_3_8","cond16",62
51,"csp_6_2","cond16",60
60,"csp_5_5","cond16",57
62,"csp_6_5","cond16",57
63,"csp_6_2","cond16",60
69,"csp_4_6","cond16",60
79,"csp_3_7","cond16",57
80,"csp_5_6","cond15",60
82,"csp_4_6","cond16",65
84,"csp_4_6","cond16",63
86,"csp_4_2","cond16",60
87,"csp_4_8","cond16",65
88,"csp_4_3","cond16",65
89,"csp_4_2","cond16",65
91,"csp_6_4","cond16",58
105,"csp_4_5","cond16",58
107,"csp_4_7","cond16",60
108,"csp_1_3","cond22",59
134,"csp_4_6","cond16",60
139,"csp_5_2","cond16",58
175,"csp_6_8","cond16",60
176,"csp_3_3","cond16",65
178,"csp_4_3","cond21",61
180,"csp_5_5","cond16",57
193,"csp_5_6","cond16",65
205,"csp_5_2","cond16",60
207,"csp_5_2","cond16",62
212,"csp_1_1","cond21",60
215,"csp_5_5","cond16",60
222,"csp_4_5","cond16",60
226,"csp_6_2","cond16",60
229,"csp_4_6","cond16",60
232,"csp_3_8","cond16",65
257,"csp_3_3","cond16",65
262,"csp_3_4","cond16",60
273,"csp_5_2","cond16",59
276,"csp_5_2","cond16",60
286,"csp_6_7","cond16",60
288,"csp_2_1","cond21",65
294,"csp_6_7","cond16",65
299,"csp_6_5","cond15",58
301,"csp_3_8","cond16",56
307,"csp_3_8","cond16",64
309,"csp_4_3","cond16",63
337,"csp_1_3","cond22",60
369,"csp_5_2","cond16",65
375,"csp_4_7","cond16",61
377,"csp_4_3","cond16",46
384,"csp_5_2","cond16",61
401,"csp_6_7","cond12",60
404,"csp_2_1","cond22",55
409,"csp_5_6","cond15",63
411,"csp_5_2","cond16",65
412,"csp_6_5","cond16",65
422,"csp_4_3","cond16",65
441,"csp_6_8","cond16",60
442,"csp_6_7","cond16",63
449,"csp_1_1","cond21",65
457,"csp_4_3","cond16",60
465,"csp_5_2","cond16",60
481,"csp_4_3","cond16",60
514,"csp_5_2","cond16",60
520,"csp_5_2","cond16",65
523,"csp_6_7","cond12",60
528,"csp_4_6","cond16",57
544,"csp_3_8","cond16",60
545,"csp_2_2","cond22",60
565,"csp_5_5","cond16",60
568,"csp_6_4","cond16",60
570,"csp_6_3","cond16",65
572,"csp_4_6","cond16",64
575,"csp_5_6","cond16",56
591,"csp_5_6","cond16",56
593,"csp_6_3","cond16",60
602,"csp_6_7","cond16",60
606,"csp_1_1","cond22",60
611,"csp_5_2","cond16",60
614,"csp_2_2","cond22",60
620,"csp_5_2","cond16",56
629,"csp_4_3","cond16",62
631,"csp_5_6","cond15",60
634,"csp_5_3","cond16",61
647,"csp_6_4","cond16",60
656,"csp_5_4","cond16",60
663,"csp_6_2","cond16",57
672,"csp_4_7","cond16",55
673,"csp_2_2","cond21",60
682,"csp_5_2","cond16",60
684,"csp_5_2","cond16",66
700,"csp_5_6","cond16",60
712,"csp_2_2","cond21",60
713,"csp_6_3","cond16",60
717,"csp_5_6","cond16",65
720,"csp_5_2","cond16",56
722,"csp_5_2","cond16",60
726,"csp_1_1","cond21",57
751,"csp_4_3","cond16",60
752,"csp_4_3","cond16",60
753,"csp_6_7","cond16",57
763,"csp_5_2","cond16",65
768,"csp_6_7","cond16",56
778,"csp_1_1","cond21",60
793,"csp_5_5","cond16",60
809,"csp_6_7","cond16",60
810,"csp_6_8","cond16",66
811,"csp_6_8","cond16",60
813,"csp_5_2","cond16",65
817,"csp_5_2","cond16",65
840,"csp_5_2","cond16",65
846,"csp_5_2","cond16",60
866,"csp_6_9","cond16",60
869,"csp_6_3","cond16",55
872,"csp_4_7","cond16",56
876,"csp_5_4","cond16",60
886,"csp_4_8","cond16",60
887,"csp_2_2","cond21",60
898,"csp_5_6","cond16",60
901,"csp_2_2","cond21",60
906,"csp_4_8","cond16",55
917,"csp_6_5","cond16",58
920,"csp_5_2","cond16",60
921,"csp_3_7","cond16",60
928,"csp_6_3","cond16",64
932,"csp_5_5","cond16",65
943,"csp_6_8","cond16",57
947,"csp_5_2","cond16",58
954,"csp_3_1","cond16",60
967,"csp_6_7","cond15",60
972,"csp_2_1","cond21",62
977,"csp_5_4","cond16",60
978,"csp_4_2","cond16",60
984,"csp_5_3","cond16",60
989,"csp_5_4","cond16",65
1014,"csp_4_7","cond16",60
1028,"csp_5_2","cond16",59
1040,"csp_3_1","cond21",60
1052,"csp_2_2","cond21",60
1053,"csp_1_3","cond22",66
1057,"csp_4_3","cond16",60
1060,"csp_6_4","cond16",58
1064,"csp_4_6","cond16",60
1071,"csp_5_5","cond16",60
1073,"csp_6_3","cond16",60
1081,"csp_6_7","cond16",57
1105,"csp_6_5","cond16",60
1115,"csp_6_7","cond16",60
1123,"csp_4_6","cond16",64
1125,"csp_5_6","cond15",65
1139,"csp_4_5","cond16",64
1148,"csp_5_6","cond16",60
1155,"csp_6_2","cond16",60
1169,"csp_6_3","cond16",60
1183,"csp_5_2","cond16",60
1211,"csp_4_6","cond16",60
1214,"csp_4_6","cond16",60
1222,"csp_4_2","cond15",60
1223,"csp_5_6","cond16",60
1230,"csp_5_2","cond16",60
1234,"csp_5_2","cond16",58
