primary_key,eco_sect,Last_dep,job_dep,job_desc,Type_of_contract,JOB_CATEGORY,Work_condition,EMPLOYER_TYPE,working_hours,Employee_count
1,"NZ","06","06","534a","CDI","O","C","ct_9",935,"tr_5"
18,"MA","42","42","461d","CDI","O","C","ct_9",1669,"tr_2"
24,"NZ","35","35","526b","CDI","O","P","ct_9",661,"tr_1"
28,"QA","78","78","344a","CDI","O","P","ct_3",728,"tr_6"
29,"FZ","94","77","632a","CDI","O","C","ct_9",1785,"tr_1"
39,"HZ","31","31","641b","CDI","O","C","ct_5",1833,"tr_6"
42,"CH","60","60","384a","CDI","O","C","ct_9",1373,"tr_5"
51,"CG","68","68","624c","CDI","O","C","ct_9",1679,"tr_5"
60,"GZ","43","43","554e","CDI","O","C","ct_9",1644,"tr_1"
62,"GZ","86","86","653a","CDI","O","C","ct_9",1872,"tr_1"
63,"FZ","59","59","621a","CDI","O","C","ct_9",777,"tr_4"
69,"NZ","75","94","461f","CDI","O","C","ct_9",1820,"tr_6"
79,"MA","14","14","373c","CDI","O","C","ct_9",1553,"tr_4"
80,"TZ","63","63","563c","CDD","O","C",NA,587,NA
82,"CA","25","25","468a","CDI","O","N","ct_9",760,"tr_3"
84,"GZ","27","27","462b","CDI","O","C","ct_9",1380,"tr_1"
86,"QB","78","78","424a","CDI","O","P","ct_8",1150,"tr_4"
87,"IZ","06","06","488b","CDI","O","C","ct_9",942,"tr_1"
88,"RZ","21","21","435b","CDI","O","C",NA,375,NA
89,"PZ","29","29","422c","CDI","O","C","ct_8",1213,"tr_3"
91,"GZ","59","59","641a","CDI","O","C","ct_9",1358,"tr_4"
105,"QA","77","75","451h","CDI","O","C","ct_3",1820,"tr_6"
107,"CE","51","51","475a","CDI","O","C","ct_9",1464,"tr_5"
134,"CF","30","30","461c","CDI","O","P","ct_9",910,"tr_5"
139,"QA","31","31","526a","CDI","O","C","ct_9",1824,"tr_6"
175,"MC","33","33","684a","CDI","O","P","ct_9",1136,"tr_2"
176,"PZ","95","92","333e","CDI","O","P","ct_1",910,"tr_6"
180,"NZ","69","69","551a","CDI","O","C","ct_9",1729,"tr_1"
193,"QB","07","07","563a","CDI","O","N","ct_7",1042,"tr_1"
205,"QB","06","06","525d","CDI","O","C","ct_9",1161,"tr_3"
207,"MA","64","64","526a","CDI","O","P","ct_9",886,"tr_6"
215,"GZ","50","50","554c","CDI","O","C","ct_9",1442,"tr_1"
222,"HZ","91","77","451a","CDI","O","C","ct_9",1869,"tr_3"
226,"CH","44","44","626b","CDI","O","C","ct_9",667,"tr_5"
229,"MA","93","92","462e","CDI","O","C","ct_9",1800,"tr_5"
232,"JC","93","75","388c","CDI","O","C","ct_9",1001,"tr_5"
257,"OZ","80","80","335a","CDI","O","P",NA,NA,NA
262,"PZ","29","29","341a","CDI","O","C","ct_8",1820,"tr_6"
273,"QB","67","67","525d","CDI","O","C","ct_8",1845,"tr_4"
276,"QB","45","92","526a","CDI","O","C","ct_8",2416,"tr_3"
286,"NZ","27","91","676a","CDI","O","C","ct_9",1517,"tr_6"
294,"CL","21","21","673c","CDI","O","C","ct_9",1364,"tr_6"
