primary_key,RETIREMENT_PAY
1,14177
18,15693
24,14025
28,46864
29,21152
39,24769
42,47248
51,16001
60,12739
62,16545
63,18771
69,24268
79,29726
80,11658
82,12985
84,11668
86,18258
87,18711
88,10313
89,17006
91,14806
105,24429
107,24812
134,20003
139,9494
175,11368
176,15163
180,11769
193,8881
205,13923
207,15288
215,11805
222,26363
226,19473
229,24110
232,34048
257,11022
262,21179
273,13721
276,20722
286,11505
294,18247
299,17963
301,26129
307,36268
309,19589
369,11403
375,14176
377,11022
384,13266
401,10460
409,13570
411,11485
412,15130
422,12098
441,11128
442,12747
457,44040
465,13224
481,13188
514,16838
520,12225
523,11022
528,27822
544,20886
565,28892
568,19261
570,11004
572,37421
575,12014
591,9334
593,21030
602,25599
611,14396
620,14069
629,14481
631,11764
634,14050
647,15277
656,14614
663,26428
672,29892
682,13260
684,15278
700,21754
713,13054
717,16406
720,16492
722,16238
751,15559
752,20345
753,17155
763,23838
768,8881
793,26421
809,10825
810,11686
811,16182
813,14429
817,13670
840,15928
846,15027
866,22573
869,15102
872,33039
876,20654
886,26046
898,11022
906,31540
917,9300
920,17002
921,30238
928,13000
932,10191
943,11964
947,15297
954,35950
967,8881
977,18297
978,15539
984,16753
989,25054
1014,51944
1028,17647
1057,15271
1060,15008
1064,18531
1071,11022
1073,15472
1081,12356
1105,25918
1115,18094
1123,25152
1125,15116
1139,15262
1148,30225
1155,14469
1169,19253
1183,13681
1211,19963
1214,19202
1222,20993
1223,11633
1230,14055
1234,11631
1235,19788
1243,19458
1253,16902
1254,19932
1259,16220
1261,15984
1264,18091
1267,12552
1282,15363
1296,21663
1297,18223
1311,25891
1318,27456
1319,19808
1322,19255
1335,24763
1339,28683
1340,11022
1344,13339
1354,17989
1364,17873
1368,39909
1387,20707
1390,10291
1401,11784
1403,15559
1409,11722
1418,16665
1420,22327
1465,19745
1476,24158
1486,22459
1497,31118
1503,21102
1505,13451
1526,13001
1529,23041
1535,12707
1537,19964
1540,8881
1554,14585
1562,8881
1564,12340
1577,28326
1586,12062
1591,13184
1597,15357
1598,27995
1600,12535
1604,23116
1610,18502
1612,16489
1616,13600
1620,23735
1622,13600
1628,10552
1630,26769
1656,21140
1660,8930
1668,18993
1687,15031
1694,15142
1705,15001
1734,21716
1736,20379
1742,18346
1743,14506
1757,26672
1766,17171
1781,13336
1792,11862
