primary_key,Club
8,"CLUB604"
15,"CLUB132"
18,"CLUB218"
75,"CLUB242"
105,"CLUB242"
129,"CLUB413"
146,"CLUB111"
151,"CLUB604"
180,"CLUB102"
182,"CLUB109"
207,"CLUB218"
225,"CLUB109"
231,"CLUB245"
232,"CLUB242"
238,"CLUB401"
243,"CLUB256"
258,"CLUB111"
262,"CLUB402"
265,"CLUB133"
307,"CLUB404"
309,"CLUB404"
318,"CLUB410"
325,"CLUB403"
332,"CLUB111"
342,"CLUB221"
346,"CLUB126"
392,"CLUB119"
446,"CLUB404"
450,"CLUB111"
510,"CLUB410"
529,"CLUB245"
532,"CLUB135"
537,"CLUB407"
558,"CLUB117"
566,"CLUB132"
590,"CLUB109"
609,"CLUB119"
620,"CLUB413"
672,"CLUB211"
684,"CLUB242"
720,"CLUB132"
722,"CLUB245"
741,"CLUB117"
743,"CLUB237"
769,"CLUB111"
772,"CLUB103"
798,"CLUB402"
803,"CLUB221"
819,"CLUB109"
829,"CLUB402"
867,"CLUB123"
886,"CLUB245"
892,"CLUB261"
959,"CLUB219"
961,"CLUB603"
988,"CLUB402"
997,"CLUB111"
1002,"CLUB126"
1003,"CLUB219"
1007,"CLUB410"
1030,"CLUB115"
1045,"CLUB105"
1095,"CLUB109"
1107,"CLUB123"
1126,"CLUB111"
1141,"CLUB115"
1159,"CLUB115"
1160,"CLUB132"
1170,"CLUB602"
1184,"CLUB123"
1197,"CLUB604"
1223,"CLUB117"
1230,"CLUB403"
1246,"CLUB402"
1250,"CLUB242"
1292,"CLUB111"
1314,"CLUB111"
1335,"CLUB218"
1352,"CLUB111"
1354,"CLUB101"
1373,"CLUB125"
1383,"CLUB102"
1406,"CLUB114"
1432,"CLUB413"
1462,"CLUB420"
1467,"CLUB604"
1476,"CLUB402"
1517,"CLUB242"
1524,"CLUB233"
1528,"CLUB109"
1588,"CLUB242"
1621,"CLUB242"
1624,"CLUB219"
1637,"CLUB124"
1641,"CLUB604"
1678,"CLUB402"
1697,"CLUB111"
1714,"CLUB218"
1715,"CLUB119"
1735,"CLUB413"
1755,"CLUB219"
1771,"CLUB111"
1776,"CLUB102"
1790,"CLUB242"
1871,"CLUB402"
1879,"CLUB404"
1890,"CLUB105"
1895,"CLUB204"
1914,"CLUB132"
1924,"CLUB121"
1925,"CLUB123"
1940,"CLUB402"
1944,"CLUB119"
1969,"CLUB403"
1973,"CLUB410"
1976,"CLUB605"
1987,"CLUB115"
1998,"CLUB134"
1999,"CLUB134"
2000,"CLUB402"
2025,"CLUB212"
2055,"CLUB404"
2072,"CLUB111"
2089,"CLUB245"
2104,"CLUB123"
2113,"CLUB233"
2114,"CLUB115"
2123,"CLUB111"
2149,"CLUB242"
2152,"CLUB111"
2154,"CLUB109"
2156,"CLUB134"
2174,"CLUB111"
2178,"CLUB134"
2183,"CLUB134"
2185,"CLUB402"
2215,"CLUB205"
2236,"CLUB109"
2241,"CLUB209"
2256,"CLUB111"
2267,"CLUB111"
2295,"CLUB111"
2315,"CLUB111"
2345,"CLUB134"
2348,"CLUB413"
2369,"CLUB402"
2379,"CLUB233"
2383,"CLUB121"
2388,"CLUB127"
2414,"CLUB123"
2427,"CLUB129"
2430,"CLUB420"
2438,"CLUB242"
2458,"CLUB124"
2466,"CLUB109"
2470,"CLUB245"
2473,"CLUB604"
2489,"CLUB132"
2493,"CLUB604"
2496,"CLUB109"
2506,"CLUB132"
2510,"CLUB132"
2514,"CLUB245"
2516,"CLUB206"
2620,"CLUB105"
2621,"CLUB117"
2632,"CLUB401"
2652,"CLUB211"
2658,"CLUB131"
2665,"CLUB413"
2680,"CLUB206"
2689,"CLUB402"
2696,"CLUB123"
2702,"CLUB121"
2721,"CLUB402"
2729,"CLUB206"
2740,"CLUB404"
2742,"CLUB249"
2751,"CLUB103"
2764,"CLUB401"
2768,"CLUB121"
2784,"CLUB121"
2802,"CLUB402"
2804,"CLUB601"
2834,"CLUB111"
2865,"CLUB111"
2868,"CLUB132"
2878,"CLUB128"
2904,"CLUB601"
2922,"CLUB242"
2923,"CLUB128"
2930,"CLUB111"
2976,"CLUB125"
3016,"CLUB410"
3040,"CLUB604"
3056,"CLUB123"
3064,"CLUB413"
3067,"CLUB245"
3091,"CLUB245"
3140,"CLUB503"
3147,"CLUB245"
3168,"CLUB242"
3259,"CLUB128"
3302,"CLUB134"
3306,"CLUB242"
3316,"CLUB410"
3317,"CLUB111"
3331,"CLUB132"
3332,"CLUB410"
3346,"CLUB132"
3360,"CLUB410"
3389,"CLUB109"
3408,"CLUB206"
3415,"CLUB604"
3422,"CLUB123"
3433,"CLUB123"
3448,"CLUB402"
3465,"CLUB410"
3470,"CLUB128"
3502,"CLUB402"
3535,"CLUB404"
3539,"CLUB123"
3585,"CLUB221"
3603,"CLUB111"
3626,"CLUB105"
3630,"CLUB242"
3633,"CLUB410"
3649,"CLUB132"
3683,"CLUB123"
3690,"CLUB601"
3700,"CLUB220"
3705,"CLUB132"
3738,"CLUB111"
3768,"CLUB123"
3776,"CLUB125"
3780,"CLUB242"
3787,"CLUB103"
3821,"CLUB123"
3844,"CLUB402"
3859,"CLUB132"
3871,"CLUB206"
3910,"CLUB242"
3914,"CLUB242"
3944,"CLUB604"
3964,"CLUB133"
3980,"CLUB133"
3983,"CLUB242"
3985,"CLUB111"
3990,"CLUB134"
4045,"CLUB107"
4092,"CLUB222"
4132,"CLUB117"
4179,"CLUB134"
4202,"CLUB243"
4291,"CLUB135"
4292,"CLUB211"
4320,"CLUB220"
4321,"CLUB111"
4330,"CLUB403"
4343,"CLUB114"
4348,"CLUB243"
4375,"CLUB124"
4380,"CLUB132"
4384,"CLUB242"
4389,"CLUB242"
4398,"CLUB410"
4401,"CLUB132"
4428,"CLUB111"
4462,"CLUB132"
4474,"CLUB105"
4496,"CLUB134"
4505,"CLUB123"
4510,"CLUB115"
4515,"CLUB114"
4516,"CLUB114"
4552,"CLUB123"
4553,"CLUB604"
4579,"CLUB503"
4585,"CLUB242"
4586,"CLUB402"
4587,"CLUB233"
4640,"CLUB105"
4666,"CLUB125"
4677,"CLUB115"
4690,"CLUB242"
4703,"CLUB211"
4706,"CLUB602"
4712,"CLUB111"
4714,"CLUB410"
4716,"CLUB211"
4729,"CLUB242"
4758,"CLUB123"
4779,"CLUB218"
4781,"CLUB127"
4795,"CLUB109"
4806,"CLUB221"
4815,"CLUB211"
4826,"CLUB105"
4831,"CLUB222"
4849,"CLUB242"
4889,"CLUB206"
4935,"CLUB242"
4973,"CLUB242"
4980,"CLUB211"
4982,"CLUB105"
4996,"CLUB123"
5015,"CLUB133"
5050,"CLUB111"
5052,"CLUB242"
5053,"CLUB119"
5090,"CLUB604"
5099,"CLUB242"
5137,"CLUB111"
5146,"CLUB403"
5153,"CLUB124"
5158,"CLUB115"
5161,"CLUB219"
5208,"CLUB501"
5215,"CLUB115"
5267,"CLUB111"
5268,"CLUB101"
5277,"CLUB233"
5354,"CLUB123"
5376,"CLUB604"
5382,"CLUB402"
5409,"CLUB113"
5437,"CLUB402"
5440,"CLUB245"
5448,"CLUB604"
5466,"CLUB125"
5480,"CLUB111"
5489,"CLUB245"
5491,"CLUB136"
5497,"CLUB132"
5532,"CLUB132"
5571,"CLUB258"
5588,"CLUB402"
5595,"CLUB605"
5606,"CLUB410"
5609,"CLUB245"
5622,"CLUB110"
5630,"CLUB249"
5640,"CLUB123"
5641,"CLUB402"
5650,"CLUB245"
5677,"CLUB105"
5684,"CLUB101"
5700,"CLUB402"
5710,"CLUB402"
5743,"CLUB125"
5752,"CLUB604"
5754,"CLUB125"
5778,"CLUB221"
5782,"CLUB402"
5787,"CLUB123"
5789,"CLUB101"
5813,"CLUB123"
5825,"CLUB233"
5830,"CLUB115"
5832,"CLUB402"
5849,"CLUB124"
5856,"CLUB123"
5878,"CLUB413"
5889,"CLUB128"
5902,"CLUB125"
5909,"CLUB101"
5914,"CLUB111"
5919,"CLUB410"
5958,"CLUB221"
5966,"CLUB402"
5982,"CLUB127"
5986,"CLUB135"
6001,"CLUB254"
6023,"CLUB119"
6045,"CLUB604"
6057,"CLUB111"
6070,"CLUB413"
6101,"CLUB402"
6113,"CLUB111"
6153,"CLUB101"
6172,"CLUB233"
6179,"CLUB242"
6210,"CLUB602"
6223,"CLUB420"
6241,"CLUB132"
6265,"CLUB420"
6278,"CLUB111"
6284,"CLUB261"
6285,"CLUB249"
6295,"CLUB404"
6306,"CLUB242"
6323,"CLUB402"
6333,"CLUB410"
6362,"CLUB132"
6375,"CLUB233"
6378,"CLUB123"
6396,"CLUB202"
6397,"CLUB134"
6399,"CLUB103"
6434,"CLUB103"
6444,"CLUB115"
